time,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,acc1,acc2,acc3,acc4,acc5,acc6,bool_throw
0,0.0,0.3490658503988659,1.5707963267948966,-1.5707963267948966,1.2217304763960306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.001,1.6666666666666667e-08,0.34906586706553255,1.5707963434615633,-1.5707963101282298,1.221730459729364,1.6666666666666667e-08,5e-05,5e-05,5e-05,5e-05,-5e-05,5e-05,0.1,0.1,0.1,0.1,-0.1,0.1,0
0.002,1.3333333333333334e-07,0.3490659837321992,1.5707964601282298,-1.5707961934615633,1.2217303430626973,1.3333333333333334e-07,0.0002,0.0002,0.0002,0.0002,-0.0002,0.0002,0.2,0.2,0.2,0.2,-0.2,0.2,0
0.003,4.5e-07,0.3490663003988659,1.5707967767948965,-1.5707958767948966,1.2217300263960307,4.5e-07,0.00045,0.00045,0.00045,0.00045,-0.00045,0.00045,0.3,0.3,0.3,0.3,-0.3,0.3,0
0.004,1.0666666666666667e-06,0.34906691706553256,1.5707973934615633,-1.5707952601282298,1.2217294097293638,1.0666666666666667e-06,0.0008,0.0008,0.0008,0.0008,-0.0008,0.0008,0.4,0.4,0.4,0.4,-0.4,0.4,0
0.005,2.0833333333333334e-06,0.34906793373219924,1.57079841012823,-1.5707942434615632,1.2217283930626972,2.0833333333333334e-06,0.00125,0.00125,0.00125,0.00125,-0.00125,0.00125,0.5,0.5,0.5,0.5,-0.5,0.5,0
0.006,3.6e-06,0.3490694503988659,1.5707999267948967,-1.5707927267948965,1.2217268763960305,3.6e-06,0.0018,0.0018,0.0018,0.0018,-0.0018,0.0018,0.6,0.6,0.6,0.6,-0.6,0.6,0
0.007,5.716666666666668e-06,0.34907156706553255,1.5708020434615633,-1.5707906101282298,1.221724759729364,5.716666666666668e-06,0.0024500000000000004,0.0024500000000000004,0.0024500000000000004,0.0024500000000000004,-0.0024500000000000004,0.0024500000000000004,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,-0.7000000000000001,0.7000000000000001,0
0.008,8.533333333333334e-06,0.34907438373219923,1.5708048601282298,-1.5707877934615633,1.2217219430626973,8.533333333333334e-06,0.0032,0.0032,0.0032,0.0032,-0.0032,0.0032,0.8,0.8,0.8,0.8,-0.8,0.8,0
0.009000000000000001,1.2150000000000004e-05,0.3490780003988659,1.5708084767948967,-1.5707841767948965,1.2217183263960305,1.2150000000000004e-05,0.004050000000000001,0.004050000000000001,0.004050000000000001,0.004050000000000001,-0.004050000000000001,0.004050000000000001,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.9000000000000001,-0.9000000000000001,0.9000000000000001,0
0.010000000000000002,1.6666666666666678e-05,0.34908251706553256,1.5708129934615633,-1.5707796601282298,1.2217138097293638,1.6666666666666678e-05,0.005000000000000002,0.005000000000000002,0.005000000000000002,0.005000000000000002,-0.005000000000000002,0.005000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,-1.0000000000000002,1.0000000000000002,0
0.011000000000000003,2.218333333333335e-05,0.3490880337321992,1.57081851012823,-1.5707741434615632,1.2217082930626972,2.218333333333335e-05,0.006050000000000003,0.006050000000000003,0.006050000000000003,0.006050000000000003,-0.006050000000000003,0.006050000000000003,1.1000000000000003,1.1000000000000003,1.1000000000000003,1.1000000000000003,-1.1000000000000003,1.1000000000000003,0
0.012000000000000004,2.8800000000000026e-05,0.3490946503988659,1.5708251267948965,-1.5707675267948966,1.2217016763960307,2.8800000000000026e-05,0.007200000000000005,0.007200000000000005,0.007200000000000005,0.007200000000000005,-0.007200000000000005,0.007200000000000005,1.2000000000000004,1.2000000000000004,1.2000000000000004,1.2000000000000004,-1.2000000000000004,1.2000000000000004,0
0.013000000000000005,3.6616666666666705e-05,0.34910246706553255,1.5708329287508362,-1.5707597101282298,1.2216938597293638,3.6616666666666705e-05,0.008450000000000006,0.008450000000000006,0.00839203441026001,0.008450000000000006,-0.008450000000000006,0.008450000000000006,1.3000000000000005,1.3000000000000005,1.1477297274711906,1.3000000000000005,-1.3000000000000005,1.3000000000000005,0
0.014000000000000005,4.5733333333333386e-05,0.34911158373219925,1.5708418779834437,-1.5707505934615633,1.2216847430626974,4.5733333333333386e-05,0.009800000000000008,0.009800000000000008,0.009489764137731203,0.009800000000000008,-0.009800000000000008,0.009800000000000008,1.4000000000000006,1.4000000000000006,1.0477297274711905,1.4000000000000006,-1.4000000000000006,1.4000000000000006,0
0.015000000000000006,5.625000000000007e-05,0.3491221003988659,1.5708518749457785,-1.5707400767948965,1.2216742263960305,5.625000000000007e-05,0.01125000000000001,0.01125000000000001,0.010487493865202393,0.01125000000000001,-0.01125000000000001,0.01125000000000001,1.5000000000000007,1.5000000000000007,0.9477297274711904,1.5000000000000007,-1.5000000000000007,1.5000000000000007,0
0.016000000000000007,6.826666666666676e-05,0.34913411706553255,1.5708628196378407,-1.5707280601282299,1.221662209729364,6.826666666666676e-05,0.012800000000000011,0.012800000000000011,0.011385223592673584,0.012800000000000011,-0.012800000000000011,0.012800000000000011,1.6000000000000008,1.6000000000000008,0.8477297274711904,1.6000000000000008,-1.6000000000000008,1.6000000000000008,0
0.017000000000000008,8.188333333333346e-05,0.3491477337321992,1.5708746120596304,-1.5707144434615632,1.2216485930626972,8.188333333333346e-05,0.014450000000000015,0.014450000000000015,0.012182953320144775,0.014450000000000015,-0.014450000000000015,0.014450000000000015,1.7000000000000008,1.7000000000000008,0.7477297274711903,1.7000000000000008,-1.7000000000000008,1.7000000000000008,0
0.01800000000000001,9.720000000000015e-05,0.3491630503988659,1.5708871522111476,-1.5706991267948966,1.2216332763960307,9.720000000000015e-05,0.016200000000000016,0.016200000000000016,0.012880683047615967,0.016200000000000016,-0.016200000000000016,0.016200000000000016,1.800000000000001,1.800000000000001,0.6477297274711902,1.800000000000001,-1.800000000000001,1.800000000000001,0
0.01900000000000001,0.00011431666666666684,0.34918016706553257,1.5709003400923924,-1.57068201012823,1.221616159729364,0.00011431666666666684,0.018050000000000017,0.018050000000000017,0.013478412775087156,0.018050000000000017,-0.018050000000000017,0.018050000000000017,1.900000000000001,1.900000000000001,0.5477297274711901,1.900000000000001,-1.900000000000001,1.900000000000001,0
0.02000000000000001,0.00013333333333333353,0.3491991837321992,1.5709140757033646,-1.5706629934615632,1.2215971430626973,0.00013333333333333353,0.02000000000000002,0.02000000000000002,0.013976142502558348,0.02000000000000002,-0.02000000000000002,0.02000000000000002,2.000000000000001,2.000000000000001,0.44772972747119,2.000000000000001,-2.000000000000001,2.000000000000001,0
