time,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,acc1,acc2,acc3,acc4,acc5,acc6,bool_throw
0,0.0,0.3490658503988659,1.5707963267948966,-1.5707963267948966,1.2217304763960306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.001,0.0,0.34906586706553255,1.5707963434615633,-1.5707963267948966,1.221730459729364,-9.868430865055162e-38,0.0,5e-05,5e-05,0.0,-5e-05,-9.86843086505517e-35,0.0,0.1,0.1,0.0,-0.1,0.0,0
0.002,0.0,0.3490659837321992,1.5707964601282298,-1.5707963267948966,1.2217303430626973,-1.973686173011033e-37,0.0,0.0002,0.0002,0.0,-0.0002,-9.86843086505517e-35,0.0,0.2,0.2,0.0,-0.2,0.0,0
0.003,0.0,0.3490663003988659,1.5707967767948965,-1.5707963267948966,1.2217300263960307,-2.9605292595165497e-37,0.0,0.00045,0.00045,0.0,-0.00045,-9.86843086505517e-35,0.0,0.3,0.3,0.0,-0.3,0.0,0
0.004,0.0,0.34906691706553256,1.5707973934615633,-1.5707963267948966,1.2217294097293638,-3.9473723460220674e-37,0.0,0.0008,0.0008,0.0,-0.0008,-9.86843086505517e-35,0.0,0.4,0.4,0.0,-0.4,0.0,0
0.005,0.0,0.34906793373219924,1.57079841012823,-1.5707963267948966,1.2217283930626972,-4.934215432527585e-37,0.0,0.00125,0.00125,0.0,-0.00125,-9.86843086505517e-35,0.0,0.5,0.5,0.0,-0.5,0.0,0
0.006,0.0,0.3490694503988659,1.5707999267948967,-1.5707963267948966,1.2217268763960305,-5.921058519033101e-37,0.0,0.0018,0.0018,0.0,-0.0018,-9.86843086505517e-35,0.0,0.6,0.6,0.0,-0.6,0.0,0
0.007,0.0,0.34907156706553255,1.5708020434615633,-1.5707963267948966,1.221724759729364,-6.907901605538618e-37,0.0,0.0024500000000000004,0.0024500000000000004,0.0,-0.0024500000000000004,-9.86843086505517e-35,0.0,0.7000000000000001,0.7000000000000001,0.0,-0.7000000000000001,0.0,0
0.008,0.0,0.34907438373219923,1.5708048601282298,-1.5707963267948966,1.2217219430626973,-7.894744692044137e-37,0.0,0.0032,0.0032,0.0,-0.0032,-9.86843086505517e-35,0.0,0.8,0.8,0.0,-0.8,0.0,0
0.009000000000000001,0.0,0.3490780003988659,1.5708084767948967,-1.5707963267948966,1.2217183263960305,-8.881587778549655e-37,0.0,0.004050000000000001,0.004050000000000001,0.0,-0.004050000000000001,-9.86843086505517e-35,0.0,0.9000000000000001,0.9000000000000001,0.0,-0.9000000000000001,0.0,0
0.010000000000000002,0.0,0.34908251706553256,1.5708129934615633,-1.5707963267948966,1.2217138097293638,-9.868430865055173e-37,0.0,0.005000000000000002,0.005000000000000002,0.0,-0.005000000000000002,-9.86843086505517e-35,0.0,1.0000000000000002,1.0000000000000002,0.0,-1.0000000000000002,0.0,0
